OBJECTID,FIPS,NAME,COUNTY,HSR,MAP_SYMBOL,CTYREG_EST,STATE_AVG,POPOVER18,HSR_SYMBOL,DELMCC,MCONFINT
1,08043979000,"Census Tract 9790, Fremont County, Colorado",Fremont,13,Second Quintile,County/Regional Estimate 15.2% (95% C.I.: 11.6 - 18.8),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2932,Second Quintile,11.4,95% C.I.: 10.6 - 12.3
2,08045951600,"Census Tract 9516, Garfield County, Colorado",Garfield,12,Fourth Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3030,Fourth Quintile,14.7,95% C.I.: 13.7 - 15.9
3,08069002803,"Census Tract 28.03, Larimer County, Colorado",Larimer,2,Second Quintile,County/Regional Estimate 11.8% (95% C.I.: 10 - 13.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),91,Middle Quintile,11.6,95% C.I.: 11.1 - 12
4,08125963200,"Census Tract 9632, Yuma County, Colorado",Yuma,1,Lowest Quintile,County/Regional Estimate 13.2% (95% C.I.: 4.8 - 21.6),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4339,Second Quintile,9.3,95% C.I.: 8.1 - 11.2
5,08069002401,"Census Tract 24.01, Larimer County, Colorado",Larimer,2,Lowest Quintile,County/Regional Estimate 11.8% (95% C.I.: 10 - 13.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),942,Lowest Quintile,8.3,95% C.I.: 7.9 - 8.6
6,08069002402,"Census Tract 24.02, Larimer County, Colorado",Larimer,2,Lowest Quintile,County/Regional Estimate 11.8% (95% C.I.: 10 - 13.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2203,Lowest Quintile,7.6,95% C.I.: 7.2 - 7.9
7,08103951200,"Census Tract 9512, Rio Blanco County, Colorado",Rio Blanco,11,Lowest Quintile,County/Regional Estimate 6.1% (95% C.I.: 2 - 10.1),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2034,Lowest Quintile,6.1,95% C.I.: 4.8 - 9
8,08103951100,"Census Tract 9511, Rio Blanco County, Colorado",Rio Blanco,11,Lowest Quintile,County/Regional Estimate 6.1% (95% C.I.: 2 - 10.1),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2993,Lowest Quintile,5.4,95% C.I.: 4.1 - 9.3
9,08049000201,"Census Tract 2.01, Grand County, Colorado",Grand,12,Lowest Quintile,County/Regional Estimate 7.8% (95% C.I.: 3.2 - 12.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3850,Lowest Quintile,8.2,95% C.I.: 7 - 9.7
10,08049000202,"Census Tract 2.02, Grand County, Colorado",Grand,12,Lowest Quintile,County/Regional Estimate 7.8% (95% C.I.: 3.2 - 12.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),5497,Lowest Quintile,9.8,95% C.I.: 8.5 - 12.2
