OBJECTID,TRACT_FIPS,TRACT_NAME,COUNTY_NAME,POD_DEATH_ADJRATE,POD_DEATH_L95CI,POD_DEATH_U95CI,POD_DEATH_STATEADJRATE,POD_DEATH_STATEL95CI,POD_DEATH_STATEU95CI,POD_DISPLAY
1,08043979000,"Census Tract 9790, Fremont County, Colorado",FREMONT,0,0,0,8.06,7.72,8.4,Lower Than State Average
2,08045951600,"Census Tract 9516, Garfield County, Colorado",GARFIELD,0,0,0,8.06,7.72,8.4,Lower Than State Average
3,08069002803,"Census Tract 28.03, Larimer County, Colorado",LARIMER,0,0,0,8.06,7.72,8.4,Lower Than State Average
4,08125963200,"Census Tract 9632, Yuma County, Colorado",YUMA,0,0,0,8.06,7.72,8.4,Lower Than State Average
5,08069002401,"Census Tract 24.01, Larimer County, Colorado",LARIMER,0,0,0,8.06,7.72,8.4,Lower Than State Average
6,08069002402,"Census Tract 24.02, Larimer County, Colorado",LARIMER,0,0,0,8.06,7.72,8.4,Lower Than State Average
7,08103951200,"Census Tract 9512, Rio Blanco County, Colorado",RIO BLANCO,,,,8.06,7.72,8.4,No Events or Data Suppressed
8,08103951100,"Census Tract 9511, Rio Blanco County, Colorado",RIO BLANCO,0,0,0,8.06,7.72,8.4,Lower Than State Average
9,08049000201,"Census Tract 2.01, Grand County, Colorado",GRAND,,,,8.06,7.72,8.4,No Events or Data Suppressed
10,08049000202,"Census Tract 2.02, Grand County, Colorado",GRAND,,,,8.06,7.72,8.4,No Events or Data Suppressed
11,08049000100,"Census Tract 1, Grand County, Colorado",GRAND,,,,8.06,7.72,8.4,No Events or Data Suppressed
12,08081000600,"Census Tract 6, Moffat County, Colorado",MOFFAT,0,0,0,8.06,7.72,8.4,Lower Than State Average
13,08081000500,"Census Tract 5, Moffat County, Colorado",MOFFAT,20.6386,5.9417,44.198,8.06,7.72,8.4,Not Different Than State Average
14,08081000400,"Census Tract 4, Moffat County, Colorado",MOFFAT,0,0,0,8.06,7.72,8.4,Lower Than State Average
15,08081000300,"Census Tract 3, Moffat County, Colorado",MOFFAT,,,,8.06,7.72,8.4,No Events or Data Suppressed
16,08057955600,"Census Tract 9556, Jackson County, Colorado",JACKSON,,,,8.06,7.72,8.4,No Events or Data Suppressed
17,08121924100,"Census Tract 9241, Washington County, Colorado",WASHINGTON,0,0,0,8.06,7.72,8.4,Lower Than State Average
18,08107000800,"Census Tract 8, Routt County, Colorado",ROUTT,0,0,0,8.06,7.72,8.4,Lower Than State Average
19,08107000700,"Census Tract 7, Routt County, Colorado",ROUTT,,,,8.06,7.72,8.4,No Events or Data Suppressed
20,08107000500,"Census Tract 5, Routt County, Colorado",ROUTT,,,,8.06,7.72,8.4,No Events or Data Suppressed
21,08107000200,"Census Tract 2, Routt County, Colorado",ROUTT,0,0,0,8.06,7.72,8.4,Lower Than State Average
22,08107000400,"Census Tract 4, Routt County, Colorado",ROUTT,,,,8.06,7.72,8.4,No Events or Data Suppressed
