OBJECTID,FIPS,NAME,COUNTY,HSR,POPOVER18,MAP_SYMBOL,CTYREG_EST,STATE_AVG,HSR_SYMBOL,MNTLD,MCONFINT
1,08043979000,"Census Tract 9790, Fremont County, Colorado",Fremont,13,2932,Second Quintile,County/Regional Estimate 11.6% (95% C.I.: 8.6 - 14.6),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,8.8,95% C.I.: 8 - 9.6
2,08045951600,"Census Tract 9516, Garfield County, Colorado",Garfield,12,3030,Second Quintile,County/Regional Estimate 9.2% (95% C.I.: 6.5 - 11.9),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,8.1,95% C.I.: 7.3 - 9.1
3,08069002803,"Census Tract 28.03, Larimer County, Colorado",Larimer,2,91,Fourth Quintile,County/Regional Estimate 8.9% (95% C.I.: 7.5 - 10.4),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,9.8,95% C.I.: 9.3 - 10.2
4,08125963200,"Census Tract 9632, Yuma County, Colorado",Yuma,1,4339,Lowest Quintile,County/Regional Estimate 3.3% (95% C.I.: 1.2 - 5.3),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,3.3,95% C.I.: 2.6 - 5
5,08069002401,"Census Tract 24.01, Larimer County, Colorado",Larimer,2,942,Lowest Quintile,County/Regional Estimate 8.9% (95% C.I.: 7.5 - 10.4),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,7.2,95% C.I.: 6.9 - 7.6
6,08069002402,"Census Tract 24.02, Larimer County, Colorado",Larimer,2,2203,Lowest Quintile,County/Regional Estimate 8.9% (95% C.I.: 7.5 - 10.4),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,6.8,95% C.I.: 6.4 - 7.1
7,08103951200,"Census Tract 9512, Rio Blanco County, Colorado",Rio Blanco,11,2034,Middle Quintile,County/Regional Estimate 7.3% (95% C.I.: 1.9 - 12.6),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,9.2,95% C.I.: 7 - 12
8,08103951100,"Census Tract 9511, Rio Blanco County, Colorado",Rio Blanco,11,2993,Fourth Quintile,County/Regional Estimate 7.3% (95% C.I.: 1.9 - 12.6),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,9.6,95% C.I.: 7.1 - 12.7
9,08049000201,"Census Tract 2.01, Grand County, Colorado",Grand,12,3850,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 2.6 - 13.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,7.5,95% C.I.: 6.3 - 9.1
10,08049000202,"Census Tract 2.02, Grand County, Colorado",Grand,12,5497,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 2.6 - 13.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,7.3,95% C.I.: 6.1 - 9.6
