OBJECTID,TRACT_FIPS,TRACT_NAME,COUNTY_NAME,SUICIDE_ADJRATE,SUICIDE_L95CI,SUICIDE_U95CI,SUICIDE_STATEADJRATE,SUICIDE_SL95CI,SUICIDE_SU95CI,SUICIDE_DISPLAY
1,08043979000,"Census Tract 9790, Fremont County, Colorado",FREMONT,5.276,0.0027,21.581,19.48,18.95,20.01,Not Different Than State Average
2,08045951600,"Census Tract 9516, Garfield County, Colorado",GARFIELD,,,,19.48,18.95,20.01,No Events or Data Suppressed
3,08069002803,"Census Tract 28.03, Larimer County, Colorado",LARIMER,0,0,0,19.48,18.95,20.01,Lower Than State Average
4,08125963200,"Census Tract 9632, Yuma County, Colorado",YUMA,18.461,5.8329,38.169,19.48,18.95,20.01,Not Different Than State Average
5,08069002401,"Census Tract 24.01, Larimer County, Colorado",LARIMER,0,0,0,19.48,18.95,20.01,Lower Than State Average
6,08069002402,"Census Tract 24.02, Larimer County, Colorado",LARIMER,82.517,40.8742,138.623,19.48,18.95,20.01,Higher Than State Average
7,08103951200,"Census Tract 9512, Rio Blanco County, Colorado",RIO BLANCO,32.12,9.4439,68.253,19.48,18.95,20.01,Not Different Than State Average
8,08103951100,"Census Tract 9511, Rio Blanco County, Colorado",RIO BLANCO,33.744,12.6847,64.901,19.48,18.95,20.01,Not Different Than State Average
9,08049000201,"Census Tract 2.01, Grand County, Colorado",GRAND,52.103,27.1776,85.064,19.48,18.95,20.01,Higher Than State Average
10,08049000202,"Census Tract 2.02, Grand County, Colorado",GRAND,7.049,0.9522,18.783,19.48,18.95,20.01,Lower Than State Average
11,08049000100,"Census Tract 1, Grand County, Colorado",GRAND,42.199,15.4605,82.078,19.48,18.95,20.01,Not Different Than State Average
12,08081000600,"Census Tract 6, Moffat County, Colorado",MOFFAT,,,,19.48,18.95,20.01,No Events or Data Suppressed
13,08081000500,"Census Tract 5, Moffat County, Colorado",MOFFAT,39.424,17.4187,70.288,19.48,18.95,20.01,Not Different Than State Average
14,08081000400,"Census Tract 4, Moffat County, Colorado",MOFFAT,13.559,2.5013,33.441,19.48,18.95,20.01,Not Different Than State Average
15,08081000300,"Census Tract 3, Moffat County, Colorado",MOFFAT,23.784,5.2853,55.57,19.48,18.95,20.01,Not Different Than State Average
16,08057955600,"Census Tract 9556, Jackson County, Colorado",JACKSON,0,0,0,19.48,18.95,20.01,Lower Than State Average
17,08121924100,"Census Tract 9241, Washington County, Colorado",WASHINGTON,,,,19.48,18.95,20.01,No Events or Data Suppressed
18,08107000800,"Census Tract 8, Routt County, Colorado",ROUTT,0,0,0,19.48,18.95,20.01,Lower Than State Average
