MAP_SYMBOL_delay,CTYREG_EST_delay,STATE_AVG_delay,POPOVER18_delay,HSR_SYMBOL_delay,DELMCC_delay,MCONFINT_delay,FIPS,TRACT_NAME_dru,COUNTY_NAME_dru,POD_DEATH_ADJRATE_dru,POD_DEATH_L95CI_dru,POD_DEATH_U95CI_dru,POD_DEATH_STATEADJRATE_dru,POD_DEATH_STATEL95CI_dru,POD_DEATH_STATEU95CI_dru,POD_DISPLAY_dru,FPHLTH_hea,POPOVER18_hea,MAP_SYMBOL_hea,CTYREG_EST_hea,STATE_AVG_hea,HSR_SYMBOL_hea,MCONFINT_hea,POPOVER18_men,MAP_SYMBOL_men,CTYREG_EST_men,STATE_AVG_men,HSR_SYMBOL_men,MNTLD_men,MCONFINT_men,PHYSH_phy,POPOVER18_phy,MAP_SYMBOL_phy,CTYREG_EST_phy,STATE_AVG_phy,HSR_SYMBOL_phy,MCONFINT_phy,TRACT_NAME_sui,COUNTY_NAME_sui,SUICIDE_ADJRATE_sui,SUICIDE_L95CI_sui,SUICIDE_U95CI_sui,SUICIDE_STATEADJRATE_sui,SUICIDE_SL95CI_sui,SUICIDE_SU95CI_sui,SUICIDE_DISPLAY_sui
Second Quintile,County/Regional Estimate 15.2% (95% C.I.: 11.6 - 18.8),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2932,Second Quintile,11.4,95% C.I.: 10.6 - 12.3,8043979000,"Census Tract 9790, Fremont County, Colorado",FREMONT,0.0,0.0,0.0,8.06,7.72,8.4,Lower Than State Average,17.1,2932,Highest Quintile,County/Regional Estimate 18.2% (95% C.I.: 14.9 - 21.5),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Fourth Quintile,95% C.I.: 16 - 18.1,2932,Second Quintile,County/Regional Estimate 11.6% (95% C.I.: 8.6 - 14.6),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,8.8,95% C.I.: 8 - 9.6,13.1,2932,Highest Quintile,County/Regional Estimate 15.3% (95% C.I.: 11.9 - 18.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 12.1 - 14.1,"Census Tract 9790, Fremont County, Colorado",FREMONT,5.276,0.0027,21.581,19.48,18.95,20.01,Not Different Than State Average
Fourth Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3030,Fourth Quintile,14.7,95% C.I.: 13.7 - 15.9,8045951600,"Census Tract 9516, Garfield County, Colorado",GARFIELD,0.0,0.0,0.0,8.06,7.72,8.4,Lower Than State Average,14.6,3030,Fourth Quintile,County/Regional Estimate 15.4% (95% C.I.: 11.8 - 19),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Fourth Quintile,95% C.I.: 13.5 - 15.8,3030,Second Quintile,County/Regional Estimate 9.2% (95% C.I.: 6.5 - 11.9),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,8.1,95% C.I.: 7.3 - 9.1,6.3,3030,Lowest Quintile,County/Regional Estimate 7.5% (95% C.I.: 5.2 - 9.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 5.7 - 7.1,"Census Tract 9516, Garfield County, Colorado",GARFIELD,,,,19.48,18.95,20.01,No Events or Data Suppressed
Second Quintile,County/Regional Estimate 11.8% (95% C.I.: 10 - 13.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),91,Middle Quintile,11.6,95% C.I.: 11.1 - 12,8069002803,"Census Tract 28.03, Larimer County, Colorado",LARIMER,0.0,0.0,0.0,8.06,7.72,8.4,Lower Than State Average,6.3,91,Lowest Quintile,County/Regional Estimate 10% (95% C.I.: 8.7 - 11.3),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Lowest Quintile,95% C.I.: 6.1 - 6.6,91,Fourth Quintile,County/Regional Estimate 8.9% (95% C.I.: 7.5 - 10.4),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,9.8,95% C.I.: 9.3 - 10.2,5.8,91,Lowest Quintile,County/Regional Estimate 7.5% (95% C.I.: 6.3 - 8.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 5.4 - 6.1,"Census Tract 28.03, Larimer County, Colorado",LARIMER,0.0,0.0,0.0,19.48,18.95,20.01,Lower Than State Average
Lowest Quintile,County/Regional Estimate 13.2% (95% C.I.: 4.8 - 21.6),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4339,Second Quintile,9.3,95% C.I.: 8.1 - 11.2,8125963200,"Census Tract 9632, Yuma County, Colorado",YUMA,0.0,0.0,0.0,8.06,7.72,8.4,Lower Than State Average,18.8,4339,Highest Quintile,County/Regional Estimate 22.6% (95% C.I.: 15.4 - 29.7),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Highest Quintile,95% C.I.: 16.7 - 21.4,4339,Lowest Quintile,County/Regional Estimate 3.3% (95% C.I.: 1.2 - 5.3),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,3.3,95% C.I.: 2.6 - 5,7.8,4339,Second Quintile,County/Regional Estimate 10% (95% C.I.: 4.7 - 15.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 6.4 - 10.1,"Census Tract 9632, Yuma County, Colorado",YUMA,18.461,5.8329,38.169000000000004,19.48,18.95,20.01,Not Different Than State Average
Lowest Quintile,County/Regional Estimate 11.8% (95% C.I.: 10 - 13.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),942,Lowest Quintile,8.3,95% C.I.: 7.9 - 8.6,8069002401,"Census Tract 24.01, Larimer County, Colorado",LARIMER,0.0,0.0,0.0,8.06,7.72,8.4,Lower Than State Average,11.1,942,Second Quintile,County/Regional Estimate 10% (95% C.I.: 8.7 - 11.3),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Highest Quintile,95% C.I.: 10.7 - 11.6,942,Lowest Quintile,County/Regional Estimate 8.9% (95% C.I.: 7.5 - 10.4),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,7.2,95% C.I.: 6.9 - 7.6,8.6,942,Middle Quintile,County/Regional Estimate 7.5% (95% C.I.: 6.3 - 8.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 8.2 - 9,"Census Tract 24.01, Larimer County, Colorado",LARIMER,0.0,0.0,0.0,19.48,18.95,20.01,Lower Than State Average
Lowest Quintile,County/Regional Estimate 11.8% (95% C.I.: 10 - 13.5),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2203,Lowest Quintile,7.6,95% C.I.: 7.2 - 7.9,8069002402,"Census Tract 24.02, Larimer County, Colorado",LARIMER,0.0,0.0,0.0,8.06,7.72,8.4,Lower Than State Average,9.7,2203,Lowest Quintile,County/Regional Estimate 10% (95% C.I.: 8.7 - 11.3),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Fourth Quintile,95% C.I.: 9.3 - 10.1,2203,Lowest Quintile,County/Regional Estimate 8.9% (95% C.I.: 7.5 - 10.4),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,6.8,95% C.I.: 6.4 - 7.1,7.6,2203,Second Quintile,County/Regional Estimate 7.5% (95% C.I.: 6.3 - 8.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 7.2 - 7.9,"Census Tract 24.02, Larimer County, Colorado",LARIMER,82.51700000000001,40.8742,138.623,19.48,18.95,20.01,Higher Than State Average
Lowest Quintile,County/Regional Estimate 6.1% (95% C.I.: 2 - 10.1),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2034,Lowest Quintile,6.1,95% C.I.: 4.8 - 9,8103951200,"Census Tract 9512, Rio Blanco County, Colorado",RIO BLANCO,,,,8.06,7.72,8.4,No Events or Data Suppressed,11.1,2034,Second Quintile,County/Regional Estimate 13.4% (95% C.I.: 7.6 - 19.3),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Second Quintile,95% C.I.: 9.2 - 14,2034,Middle Quintile,County/Regional Estimate 7.3% (95% C.I.: 1.9 - 12.6),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,9.2,95% C.I.: 7 - 12,5.9,2034,Lowest Quintile,County/Regional Estimate 5.5% (95% C.I.: 2.3 - 8.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 4.7 - 8.4,"Census Tract 9512, Rio Blanco County, Colorado",RIO BLANCO,32.12,9.4439,68.253,19.48,18.95,20.01,Not Different Than State Average
Lowest Quintile,County/Regional Estimate 6.1% (95% C.I.: 2 - 10.1),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2993,Lowest Quintile,5.4,95% C.I.: 4.1 - 9.3,8103951100,"Census Tract 9511, Rio Blanco County, Colorado",RIO BLANCO,0.0,0.0,0.0,8.06,7.72,8.4,Lower Than State Average,12.3,2993,Middle Quintile,County/Regional Estimate 13.4% (95% C.I.: 7.6 - 19.3),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Fourth Quintile,95% C.I.: 10.4 - 16.3,2993,Fourth Quintile,County/Regional Estimate 7.3% (95% C.I.: 1.9 - 12.6),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,9.6,95% C.I.: 7.1 - 12.7,6.6,2993,Lowest Quintile,County/Regional Estimate 5.5% (95% C.I.: 2.3 - 8.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 5.2 - 10,"Census Tract 9511, Rio Blanco County, Colorado",RIO BLANCO,33.744,12.6847,64.90100000000001,19.48,18.95,20.01,Not Different Than State Average
Lowest Quintile,County/Regional Estimate 7.8% (95% C.I.: 3.2 - 12.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3850,Lowest Quintile,8.2,95% C.I.: 7 - 9.7,8049000201,"Census Tract 2.01, Grand County, Colorado",GRAND,,,,8.06,7.72,8.4,No Events or Data Suppressed,5.3,3850,Lowest Quintile,County/Regional Estimate 6.3% (95% C.I.: 1.7 - 10.9),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Middle Quintile,95% C.I.: 4.4 - 6.6,3850,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 2.6 - 13.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,7.5,95% C.I.: 6.3 - 9.1,4.2,3850,Lowest Quintile,County/Regional Estimate 3.5% (95% C.I.: 0.5 - 6.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 3.5 - 5.2,"Census Tract 2.01, Grand County, Colorado",GRAND,52.103,27.1776,85.064,19.48,18.95,20.01,Higher Than State Average
Lowest Quintile,County/Regional Estimate 7.8% (95% C.I.: 3.2 - 12.4),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),5497,Lowest Quintile,9.8,95% C.I.: 8.5 - 12.2,8049000202,"Census Tract 2.02, Grand County, Colorado",GRAND,,,,8.06,7.72,8.4,No Events or Data Suppressed,4.4,5497,Lowest Quintile,County/Regional Estimate 6.3% (95% C.I.: 1.7 - 10.9),State Estimate 13.7% (95% C.I.: 13.3 - 14.1),Second Quintile,95% C.I.: 3.6 - 6.3,5497,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 2.6 - 13.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,7.3,95% C.I.: 6.1 - 9.6,3.8,5497,Lowest Quintile,County/Regional Estimate 3.5% (95% C.I.: 0.5 - 6.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 3.2 - 5.4,"Census Tract 2.02, Grand County, Colorado",GRAND,7.0489999999999995,0.9522,18.783,19.48,18.95,20.01,Lower Than State Average
